tema,vibe,pergunta,indicador,M1,M2,M3,M4
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,Amazon Prime é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,11.40,15.78,20.80,23.03
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,Globoplay é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,8.89,11.03,12.22,11.75
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,YouTube é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,72.72,69.55,70.66,71.33
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,WhatsApp é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,75.51,77.15,78.28,79.43
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,Google é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,48.24,58.58,58.46,57.73
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,Twitter é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,13.63,20.15,22.27,21.18
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,"Aplicativos de Relacionamento (Tinder,Grinder,Happn, etc) são os aplicativos/sites que tem utilizado com maior frequência nessa quarentena?",0.00,5.08,5.47,5.58
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,"Buscam em aplicativos de relacionamento, conversar com alguém sem pretensões futuras",0.00,53.35,50.25,55.41
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,"Buscam em aplicativos de relacionamento, um alívio para a solidão ",0.00,39.19,45.66,45.70
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,"Buscam em aplicativos de relacionamento, marcar encontros durante o período de quarentena",0.00,17.10,21.96,21.09
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,"Buscam em aplicativos de relacionamento, um relacionamento casual durante a quarentena sem um encontro",0.00,24.15,28.32,28.87
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,"Buscam em aplicativos de relacionamento, um relacionamento casual pós quarentena",0.00,34.49,35.64,36.58
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,"Buscam em aplicativos de relacionamento, um relacionamento sério pós quarentena ",0.00,37.45,35.18,40.63
1 - Informações sobre o Coronavírus,CORONALOVE,Q15 (ADICIONADA ONDA 5). O que você busca em aplicativos de relacionamento neste período de quarentena? ,Não sabem o que buscam em aplicativos de relacionamento,0.00,7.80,7.80,7.85
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de filmes,62.00,60.73,61.96,61.58
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de séries,55.95,55.78,57.41,56.13
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:","Têm buscado mais conteúdo de humor (stand up, paródia, pegadinha, memes, zueira, etc..)",24.70,24.65,25.82,24.95
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de novelas,18.00,16.30,17.65,18.60
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de entrevistas,15.50,14.48,15.10,15.20
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de Reality Shows,16.18,14.18,9.90,10.65
1 - Informações sobre o Coronavírus,,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de ultimas notícias,46.50,41.90,40.82,38.83
1 - Informações sobre o Coronavírus,,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de ciências e tecnologia,20.48,22.08,25.30,24.03
1 - Informações sobre o Coronavírus,,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de política,18.55,20.93,21.97,21.13
1 - Informações sobre o Coronavírus,EMPATIA FINANCEIRA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de economia e negócios,18.03,20.03,21.47,21.70
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de novidades e lançamentos de produtos,9.08,11.10,13.30,14.68
1 - Informações sobre o Coronavírus,,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:","Têm buscado mais conteúdo de ecologia, meio ambiente e consumo consciente",8.98,9.65,9.87,11.30
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de Games,28.65,28.78,29.39,29.50
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de Esportes,9.18,8.93,10.55,12.13
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:","Têm buscado mais conteúdo de Futebol (jogos, debate e resultados)",5.58,6.05,7.05,8.38
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de Música,44.75,46.20,48.04,47.50
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de Shows,11.65,20.33,18.32,17.35
1 - Informações sobre o Coronavírus,REDESCOBERTA DO LAR,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de vídeos de como fazer/ aprender,25.45,30.58,32.22,33.75
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:","Têm buscado mais conteúdo de gastronomia, Culinária e receitas de cozinha",21.75,24.60,30.27,29.70
1 - Informações sobre o Coronavírus,,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de educação/capacitação (Videoaulas),24.00,25.08,24.95,25.58
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de moda e beleza,10.33,13.48,14.55,15.28
1 - Informações sobre o Coronavírus,,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo infantil,10.25,10.15,10.05,11.15
1 - Informações sobre o Coronavírus,CORONALOVE,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo de relacionamento,7.78,6.60,6.57,7.45
1 - Informações sobre o Coronavírus,EGODEMIA,"Q16 (ANTIGA Q11). Nesse período de quarentena, você tem buscado mais conteúdos de:",Têm buscado mais conteúdo Adulto (XXX),10.48,11.20,12.05,11.85
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,"Buscam conteúdo em Redes Sociais (Instagram, Facebook, Twitter, etc)",50.08,52.18,51.36,50.28
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo em Sites de notícias,37.98,35.38,34.82,34.20
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo em Pesquisas no Google,46.98,51.05,51.96,51.48
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo no YouTube,61.33,66.55,67.41,68.30
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo em Canais de TV aberta,40.33,33.38,34.62,33.15
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo em Canais de TV fechada (assinaturas),32.93,28.00,28.79,30.25
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo em Serviços de Streaming (Ex: Globoplay),31.38,28.43,29.97,30.33
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo no WhatsApp,42.15,41.55,41.42,41.48
1 - Informações sobre o Coronavírus,,Q17 (ANTIGA Q12). Onde você tem buscado estes conteúdos nesse período de quarentena?,Buscam conteúdo no Twitter,14.45,15.10,17.62,16.53
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q18 (ANTIGA Q13). Em relação a tudo o que você tem escutado/lido, numa escala de 1 - 5 (sendo 1 Nenhum medo e 5 Muito medo), como você se sente hoje?",Não têm nenhum medo em relação a tudo o que tem escutado/lido,8.38,7.50,7.25,6.13
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q18 (ANTIGA Q13). Em relação a tudo o que você tem escutado/lido, numa escala de 1 - 5 (sendo 1 Nenhum medo e 5 Muito medo), como você se sente hoje?",Não tenho muito medo em relação a tudo o que tem escutado/lido,8.60,8.98,8.40,10.15
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q18 (ANTIGA Q13). Em relação a tudo o que você tem escutado/lido, numa escala de 1 - 5 (sendo 1 Nenhum medo e 5 Muito medo), como você se sente hoje?",Não têm medo em relação a tudo o que tem escutado/lido,30.65,31.88,31.89,33.45
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q18 (ANTIGA Q13). Em relação a tudo o que você tem escutado/lido, numa escala de 1 - 5 (sendo 1 Nenhum medo e 5 Muito medo), como você se sente hoje?",Têm medo em relação a tudo o que tem escutado/lido,25.75,25.88,27.05,25.98
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q18 (ANTIGA Q13). Em relação a tudo o que você tem escutado/lido, numa escala de 1 - 5 (sendo 1 Nenhum medo e 5 Muito medo), como você se sente hoje?",Tenho muito medo em relação a tudo o que tem escutado/lido,26.63,25.78,25.42,24.30
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q21 (ANTIGA Q16). Numa escala de 1 - 5 (sendo 1 nada e 5 totalmente), o quanto a chegada do vírus Corona (COVID-19) alterou sua rotina? ",Nada foi alterado na rotina com a chegada do vírus Corona (COVID-19),3.50,4.25,3.98,3.83
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q21 (ANTIGA Q16). Numa escala de 1 - 5 (sendo 1 nada e 5 totalmente), o quanto a chegada do vírus Corona (COVID-19) alterou sua rotina? ",Quase nada foi alterado na rotina com a chegada do vírus Corona (COVID-19) ,6.53,6.93,5.82,6.85
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q21 (ANTIGA Q16). Numa escala de 1 - 5 (sendo 1 nada e 5 totalmente), o quanto a chegada do vírus Corona (COVID-19) alterou sua rotina? ",Pouco foi alterado na rotina com a chegada do vírus Corona (COVID-19),13.33,14.28,14.87,15.38
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q21 (ANTIGA Q16). Numa escala de 1 - 5 (sendo 1 nada e 5 totalmente), o quanto a chegada do vírus Corona (COVID-19) alterou sua rotina? ",Rotina foi alterada com a chegada do vírus Corona (COVID-19),31.10,34.68,36.14,36.73
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q21 (ANTIGA Q16). Numa escala de 1 - 5 (sendo 1 nada e 5 totalmente), o quanto a chegada do vírus Corona (COVID-19) alterou sua rotina? ",Rotina foi totalmente alterada com a chegada do vírus Corona (COVID-19),45.55,39.88,39.19,37.23
2 - Impacto do Corona na rotina,,Q22 (ADICIONADA ONDA 5). Em que essa mudança de rotina impactou na sua vida? ,A mudança de rotina impactou no meu direito de ir/vir ,0.00,72.68,72.25,72.16
2 - Impacto do Corona na rotina,CORONALOVE,Q22 (ADICIONADA ONDA 5). Em que essa mudança de rotina impactou na sua vida? ,A mudança de rotina impactou nos meus relacionamentos sociais (amigos/família),0.00,60.30,61.02,60.69
2 - Impacto do Corona na rotina,CORONALOVE,Q22 (ADICIONADA ONDA 5). Em que essa mudança de rotina impactou na sua vida? ,A mudança de rotina impactou nos meus relacionamentos românticos (namorados/maridos/encontros casuais),0.00,22.55,23.87,24.69
2 - Impacto do Corona na rotina,EMPATIA FINANCEIRA,Q22 (ADICIONADA ONDA 5). Em que essa mudança de rotina impactou na sua vida? ,A mudança de rotina impactou de maneira financeira,0.00,53.96,53.97,52.41
2 - Impacto do Corona na rotina,,Q22 (ADICIONADA ONDA 5). Em que essa mudança de rotina impactou na sua vida? ,Não Sei como mudança de rotina me impactou,0.00,2.80,2.43,2.50
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA; DESEJO DE IMUNIDADE,"Q23 (ANTIGA Q17). No momento, como está a sua rotina diante do Coronavírus?",Estão em quarentena sem sair de casa,29.98,23.68,23.04,17.30
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA; DESEJO DE IMUNIDADE,"Q23 (ANTIGA Q17). No momento, como está a sua rotina diante do Coronavírus?",Estão saindo para questões essenciais ,39.93,45.25,47.57,50.58
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA; DESEJO DE IMUNIDADE,"Q23 (ANTIGA Q17). No momento, como está a sua rotina diante do Coronavírus?",Alteraram minha rotina mas ainda saio de casa,7.53,9.90,9.57,11.40
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA; DESEJO DE IMUNIDADE,"Q23 (ANTIGA Q17). No momento, como está a sua rotina diante do Coronavírus?","Evitam sair de casa, sai em algumas poucas ocasiões",17.25,14.23,14.57,15.05
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA; DESEJO DE IMUNIDADE,"Q23 (ANTIGA Q17). No momento, como está a sua rotina diante do Coronavírus?",Minha rotina não foi alterada,5.33,6.95,5.25,5.68
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q24 (ADICIONADA ONDA 5). A respeito da quarentena, qual dessas frases descreve melhor sua opinião situação atual : ",Estão isolados pois acreditam ter responsabilidade sobre a disseminação da doença,0.00,30.18,31.41,31.14
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q24 (ADICIONADA ONDA 5). A respeito da quarentena, qual dessas frases descreve melhor sua opinião situação atual : ",Estão isolados para proteger seus entes queridos,0.00,22.32,22.31,21.65
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q24 (ADICIONADA ONDA 5). A respeito da quarentena, qual dessas frases descreve melhor sua opinião situação atual : ",Estão isolados por determinação das Autoridades/Governo,0.00,7.64,7.26,6.29
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA; DESEJO DE IMUNIDADE,"Q24 (ADICIONADA ONDA 5). A respeito da quarentena, qual dessas frases descreve melhor sua opinião situação atual : ","Evitam sair de casa, mas não estão isolado(a) por motivos econômicos/financeiros ",0.00,21.84,23.23,24.22
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q24 (ADICIONADA ONDA 5). A respeito da quarentena, qual dessas frases descreve melhor sua opinião situação atual : ","Evitam sair de casa, mas acreditam que o cenário não é tão grave quanto se noticia",0.00,7.58,6.72,7.07
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q24 (ADICIONADA ONDA 5). A respeito da quarentena, qual dessas frases descreve melhor sua opinião situação atual : ",Mantem convívio social normalmente por opção ,0.00,3.89,3.25,3.90
2 - Impacto do Corona na rotina,,"Q25 (ANTIGA Q18). Você pretende deixar de circular nas ruas, menos em casos de emergência, na próxima semana?","Pretendem deixar de circular nas ruas, menos em casos de emergência, na próxima semana",85.78,83.53,82.13,81.05
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,"Q25 (ANTIGA Q18). Você pretende deixar de circular nas ruas, menos em casos de emergência, na próxima semana?","Não pretendem deixar de circular nas ruas, menos em casos de emergência, na próxima semana",14.23,16.48,17.87,18.95
2 - Impacto do Corona na rotina,,Q26 (ANTIGA Q19). Você tem intenção de ficar em quarentena?,Têm intenção de ficar em quarentena,82.78,79.92,79.73,77.66
2 - Impacto do Corona na rotina,QUARENTENA RELATIVA,Q26 (ANTIGA Q19). Você tem intenção de ficar em quarentena?,Não tem intenção de ficar em quarentena,17.22,20.08,20.28,22.34
 3 - A Vida em quarentena,REDESCOBERTA DO LAR,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Limpeza de casa é uma atividade da rotina que foi alterada,43.44,40.93,42.46,42.40
 3 - A Vida em quarentena,,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Preparo de alimentos (refeições) é uma atividade da rotina que foi alterada,34.57,34.70,36.35,36.70
 3 - A Vida em quarentena,,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Tempo de sono é uma atividade da rotina que foi alterada,38.23,44.25,44.21,43.55
 3 - A Vida em quarentena,EMPATIA FINANCEIRA,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Rotina profissional foi alterada,59.19,54.48,53.23,52.77
 3 - A Vida em quarentena,,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Relacionamento com a família foi alterado,52.45,50.17,51.04,53.08
 3 - A Vida em quarentena,,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Deslocamento (mobilidade) é uma atividade da rotina que foi alterada,53.00,60.18,59.38,57.23
 3 - A Vida em quarentena,,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Atividades Físicas são atividades da rotina que foram alteradas,46.41,45.67,46.30,45.06
 3 - A Vida em quarentena,,Q27 (ANTIGA Q21). Quais atividades da sua rotina estão diferentes na quarentena?,Uso de máscaras no dia a dia é uma atividades da rotina que foi alterada,25.28,58.31,69.19,69.57
 3 - A Vida em quarentena,REDESCOBERTA DO LAR,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter a limpeza da casa, mesmo durante a quarentena",0.00,54.42,52.92,52.64
 3 - A Vida em quarentena,,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter o preparo de alimentos (refeições), mesmo durante a quarentena",0.00,51.02,48.64,49.93
 3 - A Vida em quarentena,,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter o tempo de sono, mesmo durante a quarentena",0.00,38.61,37.35,37.40
 3 - A Vida em quarentena,,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter a rotina profissional, mesmo durante a quarentena ",0.00,20.38,20.37,21.55
 3 - A Vida em quarentena,CORONALOVE,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter o relacionamento com a família, mesmo durante a quarentena ",0.00,38.19,33.82,34.69
 3 - A Vida em quarentena,DESEJO DE IMUNIDADE,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter o deslocamento (mobilidade), mesmo durante a quarentena",0.00,11.04,11.39,11.85
 3 - A Vida em quarentena,,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,"Conseguiram manter as atividades físicas, mesmo durante a quarentena",0.00,14.30,14.24,14.40
 3 - A Vida em quarentena,,Q28 (ADICIONADA ONDA 5). E quais atividades você conseguiu manter mesmo durante a quarentena? ,Conseguiram manter o uso de máscara no dia-a-dia durante a quarentena,0.00,15.95,21.81,23.96
 3 - A Vida em quarentena,,"Q29 (ANTIGA Q22). Normalmente, o quanto você costuma dormir?",Dormem entre 1 e 5 horas por dia,18.03,20.84,19.55,20.62
 3 - A Vida em quarentena,,"Q29 (ANTIGA Q22). Normalmente, o quanto você costuma dormir?",Dormem entre 5 e 8 horas por dia,62.83,62.57,62.77,62.47
 3 - A Vida em quarentena,,"Q29 (ANTIGA Q22). Normalmente, o quanto você costuma dormir?",Dormem +8 horas por dia,19.15,16.59,17.69,16.91
 3 - A Vida em quarentena,,Q30 (ANTIGA Q23). Seu tempo de sono aumentou ou diminuiu? ,Tempo de sono aumentou,54.47,44.55,45.95,40.73
 3 - A Vida em quarentena,,Q30 (ANTIGA Q23). Seu tempo de sono aumentou ou diminuiu? ,Tempo de sono diminuiu,31.09,40.90,40.54,44.67
 3 - A Vida em quarentena,,Q30 (ANTIGA Q23). Seu tempo de sono aumentou ou diminuiu? ,Tempo de sono permanece o mesmo,14.44,14.56,13.52,14.60
 3 - A Vida em quarentena,CORONALOVE,Q31 (ANTIGA Q24). O que mudou em seu relacionamento familiar?,Têm passado mais tempo com a família,64.00,61.94,57.69,59.93
 3 - A Vida em quarentena,CORONALOVE,Q31 (ANTIGA Q24). O que mudou em seu relacionamento familiar?,Têm passado menos tempo com a família,18.94,21.03,22.61,21.21
 3 - A Vida em quarentena,CORONALOVE,Q31 (ANTIGA Q24). O que mudou em seu relacionamento familiar?,Passam mais tempo Online com a família,14.37,14.74,17.53,17.41
 3 - A Vida em quarentena,EMPATIA FINANCEIRA,Q32 (ADICIONADA ONDA 6). Qual dessas frases melhor descreve sua atual situação: ,Estão trabalhando ,0.00,43.57,43.52,45.98
 3 - A Vida em quarentena,,Q32 (ADICIONADA ONDA 6). Qual dessas frases melhor descreve sua atual situação: ,Estão Estudando,0.00,15.33,15.77,15.80
 3 - A Vida em quarentena,EMPATIA FINANCEIRA,Q32 (ADICIONADA ONDA 6). Qual dessas frases melhor descreve sua atual situação: ,Não estão trabalhando nem estudando,0.00,36.03,36.62,34.10
 3 - A Vida em quarentena,,"Q33 (ADICIONADA ONDA 6). Durante a quarentena, como tem sido sua rotina de estudos e aprendizado ? ",Consiguem manter os estudos e aprender normalmente ,0.00,30.02,29.43,28.03
 3 - A Vida em quarentena,,"Q33 (ADICIONADA ONDA 6). Durante a quarentena, como tem sido sua rotina de estudos e aprendizado ? ","Estão estudando, mas não mantêm a mesma rotina de antes por opção",0.00,38.91,40.96,40.14
 3 - A Vida em quarentena,,"Q33 (ADICIONADA ONDA 6). Durante a quarentena, como tem sido sua rotina de estudos e aprendizado ? ","Estão estudando, mas não possuem os recursos necessários para manter a mesma rotina ",0.00,21.48,20.21,24.09
 3 - A Vida em quarentena,,"Q33 (ADICIONADA ONDA 6). Durante a quarentena, como tem sido sua rotina de estudos e aprendizado ? ",Não estão estudando em casa,0.00,7.59,7.04,5.20
 3 - A Vida em quarentena,,Q34 (ANTIGA Q25). Você está trabalhando em casa ou tem ido para o trabalho normalmente?,Estão trabalhando em casa,52.53,49.62,49.60,49.22
 3 - A Vida em quarentena,QUARENTENA RELATIVA,Q34 (ANTIGA Q25). Você está trabalhando em casa ou tem ido para o trabalho normalmente?,Estão indo para o trabalho normalmente,13.79,16.89,15.38,19.25
 3 - A Vida em quarentena,QUARENTENA RELATIVA,Q34 (ANTIGA Q25). Você está trabalhando em casa ou tem ido para o trabalho normalmente?,"Estão indo para o trabalho, mas a empresa vai liberar para trabalhar em casa",4.66,3.69,4.69,4.12
 3 - A Vida em quarentena,,"Q35 (ANTIGA Q26). Numa escala de 1 a 5, o quão produtivo(a) você se sente trabalhando em casa? ",Sentem-se mais produtivo(a),18.72,17.24,14.56,15.08
 3 - A Vida em quarentena,,"Q35 (ANTIGA Q26). Numa escala de 1 a 5, o quão produtivo(a) você se sente trabalhando em casa? ",Sentem-se um pouco mais produtivos,15.67,11.72,11.63,12.09
 3 - A Vida em quarentena,,"Q35 (ANTIGA Q26). Numa escala de 1 a 5, o quão produtivo(a) você se sente trabalhando em casa? ",Não sentem diferença na produtividade,24.75,25.12,26.02,25.35
 3 - A Vida em quarentena,,"Q35 (ANTIGA Q26). Numa escala de 1 a 5, o quão produtivo(a) você se sente trabalhando em casa? ",Sentem-se menos produtivos,12.87,11.44,12.26,12.86
 3 - A Vida em quarentena,,"Q35 (ANTIGA Q26). Numa escala de 1 a 5, o quão produtivo(a) você se sente trabalhando em casa? ",Não se sentem nada produtivos,14.17,24.59,26.82,26.07
 3 - A Vida em quarentena,REDESCOBERTA DO LAR,"Q35 (ANTIGA Q26). Numa escala de 1 a 5, o quão produtivo(a) você se sente trabalhando em casa? ",Estão trabalhando em casa pela primeira vez,13.82,9.90,8.72,8.56
 3 - A Vida em quarentena,,Q36 (ANTIGA Q27). Quantas horas por dia você costuma trabalhar?,Costumam trabalhar menos de 4 horas por dia,15.34,21.10,23.94,21.68
 3 - A Vida em quarentena,,Q36 (ANTIGA Q27). Quantas horas por dia você costuma trabalhar?,Costumam trabalhar até 4 horas por dia,11.52,10.71,12.49,11.64
 3 - A Vida em quarentena,,Q36 (ANTIGA Q27). Quantas horas por dia você costuma trabalhar?,Costumam trabalhar até 6 horas por dia,20.82,21.11,20.34,21.12
 3 - A Vida em quarentena,,Q36 (ANTIGA Q27). Quantas horas por dia você costuma trabalhar?,Costumam trabalhar até 8 horas por dia,35.84,32.24,30.80,32.75
 3 - A Vida em quarentena,,Q36 (ANTIGA Q27). Quantas horas por dia você costuma trabalhar?,Costumam trabalhar até 12 horas por dia,13.98,12.39,10.07,11.00
 3 - A Vida em quarentena,,Q36 (ANTIGA Q27). Quantas horas por dia você costuma trabalhar?,Costumam trabalhar mais de 12 horas por dia,2.50,2.47,2.36,1.81
 3 - A Vida em quarentena,,"Q37 (ANTIGA Q28). Trabalhando em casa, você consegue conciliar suas atividades profissionais com as atividades de casa? (Limpeza, refeições, etc)","Trabalhando em casa, conseguem fazer tudo",59.66,48.76,48.66,48.46
 3 - A Vida em quarentena,,"Q37 (ANTIGA Q28). Trabalhando em casa, você consegue conciliar suas atividades profissionais com as atividades de casa? (Limpeza, refeições, etc)","Trabalhando em casa, não conseguem dar conta de tudo",19.31,19.88,19.36,21.51
